symptoms,label
reduced hearing sensitivity muffled or blocked sound,Conductive Hearing Loss
menstrual pain heavy bleeding menstruation infertility bowel movements or during pelvic intercourse,Endometriosis
double vision eye fatigue poor depth perception head lean,Eye alignment disorder
parotid glands headache fatigue fever swollen usually salivary,Mumps
in breast changes size breast changes or breast lump shape pain nipple,Breast Cancer
since this morning neck or back pain stiffness limited range of motion numbness or weakness in the extremities,Spondylosis
impulsive behaviors e g gambling stealing difficulty resisting urges,Impulse Control Disorder
constant shaking dizziness confusion sweating,Hypoglycemia
bleeding fatigue heartbeats irregular rapid pale prolonged bruising shortness infections or skin or frequent of breath,Aplastic Anemia
headache dizziness nausea or vomiting confusion memory problems sensitivity to light or noise mood changes intermittent,Concussion
shooting or burning pain tingling or numbness fever present,Neuropathic Pain
tenderness posture or periods extremities range severe hips chronic spine difficulty of stiffness in and numbness in affected limited swelling such and or after joints shoulders morning areas the in back motion maintaining discomfort other tingling knees inflammation or fatigue in neck proper of in inactivity in in or pain as the especially pain cases the pain,Spondylitis
heartburn chest pain swallowing difficulty,Hiatal Hernia
toothache tooth sensitivity visible pits or fix in the teeth dark spots on the teeth bad breath,Dental Caries
yellowish or white ontogeny on the conjunctiva eye s surface usually near the cornea,Pinguecula
nausea vomiting abdominal pain liver or kidney damage dizziness confusion respiratory distress fever present,Poisoning due to Analgesics
vaginal bleeding ab cramps pelvic pain,Threatened Pregnancy
cravings for alcohol inability to control or limit alcohol consumption withdrawal symptoms such as tremors anxiety sweating when attempting to stop or reduce alcohol use continued use despite negative consequences such as relationship problems health issues neglecting responsibilities tolerance to alcohol fever present,Alcohol Use Disorder
dizziness low blood pressure level slow heart rate nausea vomiting,Antihypertensives Poisoning
since this morning difficulty falling asleep or staying asleep daytime sleepiness irritability difficulty concentrating,Primary Insomnia
severe redness swelling discharge foul odor around the umbilical area,Omphalitis
range motion pain swelling tenderness limited of joint,Bursitis
headache nausea vomiting cognitive or developmental problems enlarged head in infants started after cold,Hydrocephalus
yellowing of the skin and eyes pale stools dark water,Neonatal Jaundice
ear pain fever fluid drainage from the ear for a few days,Otitis Media
fatigue weakness weight going low blood pressure abdominal pain,Glucocorticoid Deficiency
pain swelling injure difficulty walking,Injury to the Leg
headache fever fatigue cough meningitis pneumonia,Cryptococcosis
abdominal pain bloating changes in bowel movements worse at night,Diverticulosis
constant drowsiness confusion slowed breathing,Sedatives Poisoning
wheezing shortness breath of tightness chest,Acute Bronchospasm
severe upper abdominal trouble nausea vomiting fever rapid pulse swollen and tender abdomen jaundice,Acute Pancreatitis
pain during bowel movements rectal bleeding since this morning,Anal Fissure
painful ulcers or sores on the genital area swollen lymph nodes in the groin,Chancroid
rash itching redness peeling skin worse during exertion,Fungal Infection of the Skin
fatigue joint muscle pain pain and stiffness,Polymyalgia Rheumatica
wheezing breath shortness chest tightness of,Acute Bronchospasm
mild gradual loss of vision visual field defects,Normal-Tension Glaucoma
sudden involuntary muscle contractions muscle annoyance stiffness limited range of motion,Muscle Spasm
dizziness low blood pressure slow heart rate nausea vomiting,Antihypertensives Poisoning
chest pain sharp or dull difficulty breathing or shortness of breath rapid or shallow breathing coughing up blood or pink tinged sputum decreased oxygen levels wheezing cyanosis bluish discoloration of the skin chest wall bruising rib fractures associated injuries worse at night,Lung Contusion
excessive tearing eye discharge recurrent eye contagion,Stenosis of the Tear Duct
frequent urination increased thirst weight loss no medication taken,Type 1 Diabetes
progressive muscle weakness and degeneration difficulty walking or moving muscle wasting constant,Muscular Dystrophy
worse during exertion rough scaly patches on the skin usually in sun exposed areas,Actinic Keratosis
absence or undescended testicle s empty scrotum smaller or underdeveloped testicle s inguinal hernia abnormal positioning of the testicle s higher in the groin area mild,Cryptorchidism
or swallowing sensation throat difficulty object foreign of in a the speaking stuck,Foreign Body in the Throat
loss ear fullness tinnitus vertigo hearing,Meniere Disease
a cannot such as seizures difficulty that condition blindness medical speaking or by paralysis explained be neurological symptoms injury or,Conversion Disorder
headache dizziness nausea confusion,Carbon Monoxide Poisoning
mild painless swelling usually on the lower lip or floor of the mouth,Mucocele
chronic muscle pain loss weakness of sensation,Syringomyelia
ear pain fever runny drainage from the ear,Otitis Media
lower back pain soreness in the pelvic area,Pregnancy-Related Back Pain
inflammation of blood vessels leading to various symptoms depending on the affected organs including rash fever fatigue muscle and joint pain shortness of breath weight loss,Vasculitis
blurred or distorted vision floaters impaired color vision dark or empty areas in the visual bailiwick vision loss,Diabetic retinopathy
pain vomiting poor abdominal bloating appetite early nausea satiety,Gastroparesis
and affects eyelid or vision localized the usually sensitivity the if blurred the light sight chalazion tenderness upper the of on on to swelling inflammation swelling red mild eyelid line discomfort painful lump,Chalazion
impaired memory and cognition change judgment anxiety,Marijuana Abuse
severe abdominal pain fucking stools diarrhea nausea vomiting fever rapid heart rate low blood pressure,Ischemia of the Bowel
eye peripheral lights loss vision around gradual impairment or pain halos vision discomfort,Chronic Glaucoma
depends on the particular cranial nerve involved symptoms can include vision changes eye movement abnormalities facial weakness or paralysis difficulty swallowing or speaking loss of sensation in the face or other areas,Cranial Nerve Palsy
fatigue weight gain constipation dry skin depression muscle aches and stiffness sensitivity to cold,Hashimoto Thyroiditis
drowsiness confusion slowed breathing for a few days,Sedatives Poisoning
on or side or abdominal or swelling stabbing abnormal sudden severe nausea bloating and heartbeat fever tenderness spotting pain abdominal pain vomiting intercourse pain sharp pelvic bleeding during rapid one,Ovarian Torsion
pain swelling redness discharge from the nose improved with rest,Abscess of Nose
habits abnormal pain changes pelvic discomfort bladder vaginal or bowel in bleeding or,Endometrial Cancer
shortness of breath especially during physical activity or exertion chest pain or discomfort dizziness or vertigo fainting or near fainting episodes heart palpitations rapid or irregular heartbeat fatigue swelling in the ankles feet or legs,Hypertrophic Obstructive Cardiomyopathy (HOCM)
painful ulcers or sores on the genital area swollen lymph nodes in the groin,Chancroid
repeated regurgitation and re chewing of food constant,Rumination Disorder
itchy red inflamed skin rash since this morning,Eczema
growth deficiencies facial abnormalities developmental delay intellectual disability,Fetal Alcohol Syndrome
pain inflammation weakness muscle,Myositis
red itchy and oily patches of skin dandruff flaky scalp fever present,Seborrheic Dermatitis
fatigue jaundice abdominal swelling ascites easy bruising and bleeding confusion loss of appetite weight loss,Cirrhosis
or affecting legs muscle sudden the arms contractions often or jerks brief face,Myoclonus
gradual hearing loss difficulty hearing high pitched sounds speech sounds muffled or ill defined,Presbycusis
itchy red rash caused by contact with irritant or allergens,Contact Dermatitis
persistent painful erecting,Priapism
redness swelling warmth pain or tenderness at the wound site pus or drainage from the wound fever malaise,Infection of Open Wound
ab pain bloating changes in bowel movements,Diverticulosis
moderate pain swelling redness discharge from the nose,Abscess of Nose
mild to moderate head pain tightness or pressure sensation on both sides of head,Tension Headache
cough shortness of breath wheezing chest pain in the ass fever night sweats fatigue weight loss elevated eosinophil count in the blood or sputum,Pulmonary Eosinophilia
excessive sweating beyond what is necessary for temperature regulation typically in specific areas such as palms soles underarms may interfere with daily activities severe,Hyperhidrosis
swelling pain redness pyrexia pus formation,Abscess
persistent pain or discomfort in the vulva glow stinging rawness itching,Vulvodynia
reduced sense of hearing sensitivity muffled or blocked sound,Conductive Hearing Loss
or pits teeth visible breath teeth the toothache sensitivity in tooth spots dark bad the on holes,Dental Caries
bureau pain or discomfort angina shortness of breath fatigue irregular heartbeat dizziness nausea sweating jaw or arm pain in some cases heart attack when a coronary artery becomes completely blocked,Coronary Atherosclerosis
optic neuritis vision loss pain with eye movement transverse myelitis weakness numbness or paralysis of the limbs loss of bladder or bowel control,Neuromyelitis Optica
pus pain fever redness swelling formation,Abscess
developmental delays intellectual disability hearing loss vision problems heart defects liver or spleen enlargement rash at birth mild,Congenital rubella
intermittent unintentional urine leakage during physical activity,Stress Incontinence
joint swelling pain warmth limited range of motion worse at night,Hemarthrosis
knee annoyance swelling inability to straighten the leg,Dislocation of the Patella
fatigue swelling of the legs or ankles decreased appetite difficulty condense increased urination or urine changes blood in urine high blood pressure,Chronic Kidney Disease
inflammation the shoulders swelling maintaining areas and proper the periods neck tingling extremities in cases discomfort hips spine chronic numbness in as morning knees pain after joints limited affected in stiffness pain difficulty pain and range or of or in inactivity especially other in or fatigue in of in tenderness motion back or posture severe such the,Spondylitis
immune system night rough poor or skin blindness weakened eyes healing dry wound dry,Vitamin A Deficiency
worse at night inflammation of blood vessels leading to various symptoms depending on the affected organs including rash fever fatigue muscle and joint pain shortness of breath weight loss,Vasculitis
lump swelling difficulty pain when swallowing and speaking facial weakness facial paralysis,Mucoepidermoid carcinoma
tire out frequent infections easy bruising or bleeding,Myelodysplastic Syndrome
white patches or plaques in the mouth often on the tongue or inside of the face that cannot be scraped off,Oral Leukoplakia
constant numbness or tingling in fingers or around the mouth muscle cramps,Hypocalcemia
red scaly patches on the skin itching for a few days,Psoriasis
mild to moderate head pain tightness or pressure sensation on both sides of head,Tension Headache
worse at night easy bruising prolonged bleeding after injury or surgery excessive bleeding from minor cuts or abrasions frequent nosebleeds heavy menstrual bleeding,Coagulation (Bleeding) Disorder
stiffness of joint fatigue appetite pain swelling loss,Rheumatoid Arthritis
